Year,Month,Day,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Hour_24
2016,1,1,-110,-108,-95,-92,-88,-87,-85,-75,-73,-69,-67,-59,-51,-49,-47,-42,-39,-35,-36,-36,-32,-27,-29,-32
2016,1,2,-30,-23,-34,-33,-29,-25,-16,-18,-16,-17,-16,-11,-9,-13,-14,-17,-21,-20,-16,-17,-18,-15,-11,-12
2016,1,3,-15,-12,-12,-12,-10,-14,-16,-15,-14,-12,-10,-9,-9,-9,-5,-5,-4,-6,-4,-8,-13,-17,-18,-19
2016,1,4,-19,-20,-21,-21,-17,-14,-11,-11,-6,-3,-1,0,-1,-4,-5,-1,0,0,3,1,-5,-5,-6,-4
2016,1,5,-3,0,1,2,1,3,1,4,12,9,6,6,8,11,14,15,18,12,5,3,5,10,12,16
2016,1,6,12,-7,-12,-12,-8,-10,-17,-20,-17,-17,-23,-25,-19,-17,-14,-9,-7,-4,-4,-6,-12,-18,-16,-11
2016,1,7,-11,-13,-14,-13,-7,-7,-10,-14,-13,-12,-15,-10,-10,-9,-4,-3,-4,-3,-2,-4,-8,-11,-10,-10
2016,1,8,-11,-13,-12,-11,-8,-9,-8,-8,-11,-13,-12,-13,-12,-14,-9,-10,-8,-7,-7,-7,-9,-7,-6,-7
2016,1,9,-11,-10,-7,-7,-5,-5,-5,-7,-9,-9,-7,-4,-4,-5,-8,-9,-8,-4,0,1,2,5,6,7
2016,1,10,2,-5,-5,-2,-1,2,2,0,-3,-4,-4,-6,-7,-4,-1,0,0,2,2,1,-3,-5,-5,0
2016,1,11,3,5,6,6,5,3,0,-7,-10,-11,-12,-13,-9,-6,-4,-9,-10,-16,-15,-17,-15,-14,-17,-19
2016,1,12,-26,-29,-24,-20,-16,-14,-20,-20,-14,-15,-14,-10,-9,-4,-1,-2,-3,-2,-4,-10,-13,-19,-11,-8
2016,1,13,-13,-16,-16,-18,-17,-13,-14,-13,-15,-14,-18,-19,-17,-19,-13,-10,-8,-6,-5,-8,-8,-7,-6,-5
2016,1,14,-5,-5,-5,-5,-2,-3,-1,-5,-4,-6,-8,-8,-12,-12,-14,-13,-14,-14,-13,-12,-14,-21,-19,-14
2016,1,15,-14,-17,-19,-15,-9,-6,-9,-10,-12,-13,-14,-15,-14,-13,-11,-11,-10,-5,-5,-7,-11,-12,-12,-12
2016,1,16,-11,-10,-6,-3,0,1,1,1,1,1,2,6,11,14,8,7,6,4,5,5,7,5,2,1
2016,1,17,2,3,4,5,6,6,5,3,-1,3,4,2,-3,-8,-5,-3,-2,-2,-3,-4,-4,-3,-4,-1
2016,1,18,0,-1,-2,-2,0,3,5,7,10,9,6,1,0,0,-1,-1,-3,-3,-1,-1,0,3,19,14
2016,1,19,5,-2,-5,-9,-8,-8,-10,-10,-13,-8,-5,-5,-6,0,7,5,7,12,16,15,13,12,13,8
2016,1,20,12,14,13,11,9,4,-3,-10,-22,-38,-53,-64,-63,-73,-84,-88,-93,-91,-82,-82,-86,-86,-81,-66
